California 10D soiled Rh
WL(nm)	ρ(λ.8°.h)
960	0.911081254
955	0.910991532
950	0.911172201
945	0.910777236
940	0.91077133
935	0.910692215
930	0.910586913
925	0.910716249
920	0.910580769
915	0.910462606
910	0.910458331
905	0.910344997
900	0.910157717
895	0.910302777
890	0.910109643
885	0.910430509
880	0.910113679
875	0.910752684
870	0.910577505
865	0.909783059
860	0.90704329
855	0.909157877
850	0.908482776
845	0.909377849
840	0.908342415
835	0.908148257
830	0.908415291
825	0.908011841
820	0.908281457
815	0.908739373
810	0.908402003
805	0.909273458
800	0.90862219
795	0.908370888
790	0.908422686
785	0.907913886
780	0.908098823
775	0.908495044
770	0.908966993
765	0.909013367
760	0.908929694
755	0.90849595
750	0.90797049
745	0.907569096
740	0.908023484
735	0.908160675
730	0.908163878
725	0.907796884
720	0.907808497
715	0.906898324
710	0.906639026
705	0.906878562
700	0.90653973
695	0.905841588
690	0.905894981
685	0.905534383
680	0.905194017
675	0.90505521
670	0.904526142
665	0.903765426
660	0.90312674
655	0.902966242
650	0.90264003
645	0.902289308
640	0.901728939
635	0.901389909
630	0.901104992
625	0.900722703
620	0.900248515
615	0.899720379
610	0.89896503
605	0.898332406
600	0.897712687
595	0.896806846
590	0.895746739
585	0.895277935
580	0.89421076
575	0.892916017
570	0.891610747
565	0.891063355
560	0.889428579
555	0.887991768
550	0.885815788
545	0.88469799
540	0.882991978
535	0.880513559
530	0.879333709
525	0.877267069
520	0.875285169
515	0.873610909
510	0.871122685
505	0.869217663
500	0.866791746
495	0.86510366
490	0.862156291
485	0.859518878
480	0.857099961
475	0.85500127
470	0.851521161
465	0.848724618
460	0.845757697
455	0.841831854
450	0.838430037
445	0.834152645
440	0.829817732
435	0.82468435
430	0.821574196
425	0.816877708
420	0.812651347
415	0.808477754
410	0.803166349
405	0.797673425
400	0.791052346
395	0.783155731
390	0.774077994
385	0.763287023
380	0.751771634
375	0.74408455
370	0.732620529
365	0.717280131
360	0.700650073
355	0.67566596
350	0.641351018
345	0.595493589
340	0.532051905
335	0.442916191
330	0.321270819
325	0.181255264
320	0.082501086
